COUNTRY,ISO_A3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,Total_First_Vaccination,TOTAL_VACCINATIONS_PER100,Rate_First_Vaccination,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426.0,699116.0,261.0,91.0,677669.0,88.0,,2021-03-27,,634641.0,82.0
Namibia,NAM,AFRO,REPORTING,2023-11-12,1005937.0,629767.0,40.0,25.0,550978.0,22.0,,2021-03-19,,298560.0,12.0
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-11-26,1.55461757E8,6.5199831E7,185.0,78.0,5.8585264E7,70.0,,2021-02-09,,3.1352288E7,37.0
Kenya,KEN,AFRO,REPORTING,2023-04-02,2.3750431E7,1.4494372E7,44.0,27.0,1.109044E7,21.0,,2021-03-05,,2000636.0,4.0
Greenland,GRL,EURO,REPORTING,,,,,,,,,,,,
Comoros,COM,AFRO,REPORTING,2022-10-02,835021.0,438825.0,96.0,50.0,397080.0,46.0,,2021-04-10,,,
Mozambique,MOZ,AFRO,REPORTING,2023-07-02,3.4950858E7,2.2869646E7,112.0,73.0,2.1329745E7,68.0,,2021-03-08,,2323562.0,7.0
Viet Nam,VNM,WPRO,REPORTING,2023-06-30,2.66492149E8,9.0497674E7,274.0,93.0,8.5961564E7,88.0,,2021-03-08,,5.797522E7,60.0
India,IND,SEARO,REPORTING,2023-11-23,2.208365081E9,1.027419851E9,160.0,74.0,9.52128795E8,69.0,,2021-01-16,,2.28816435E8,17.0
Bulgaria,BGR,EURO,REPORTING,2023-09-24,4618931.0,2108544.0,66.0,30.0,2080324.0,30.0,,2020-12-30,,833135.0,12.0
Malaysia,MYS,WPRO,REPORTING,2023-10-26,7.2653181E7,2.8140956E7,224.0,87.0,2.7554035E7,85.0,,2021-02-24,,1.6348342E7,51.0
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-06-02,3.7860994E7,2.2157232E7,133.0,78.0,1.428737E7,50.0,,2021-02-22,,651502.0,2.0
Bahamas,BHS,AMRO,REPORTING,2023-06-02,366359.0,174810.0,93.0,44.0,166972.0,42.0,,2021-03-14,,33717.0,9.0
Georgia,GEO,EURO,REPORTING,2023-05-28,2739270.0,1300867.0,69.0,33.0,1187212.0,30.0,,2021-03-17,,251191.0,6.0
Somalia,SOM,EMRO,REPORTING,2023-07-25,1.0555834E7,8972167.0,66.0,56.0,7666835.0,48.0,,2021-03-16,,28134.0,
Maldives,MDV,SEARO,REPORTING,2023-05-25,951764.0,399308.0,176.0,74.0,385167.0,71.0,,2021-02-01,,167289.0,31.0
Ecuador,ECU,AMRO,REPORTING,2023-03-24,3.9564195E7,1.4768682E7,224.0,84.0,1.4240587E7,81.0,,2021-01-20,,7732930.0,44.0
Kyrgyzstan,KGZ,EURO,REPORTING,2023-06-18,3167393.0,1528725.0,49.0,23.0,1337850.0,21.0,,2021-03-31,,300818.0,5.0
Tuvalu,TUV,WPRO,REPORTING,2023-02-01,26783.0,9763.0,227.0,83.0,9505.0,81.0,,2021-04-13,,5745.0,49.0
United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,2.4922054E7,9991089.0,252.0,100.0,9792266.0,99.0,,,,5138699.0,52.0
Burkina Faso,BFA,AFRO,REPORTING,2023-07-23,7893609.0,6089089.0,38.0,29.0,5232347.0,25.0,,2021-06-02,,4056.0,
Sweden,SWE,EURO,REPORTING,2023-10-01,2.3237123E7,7564745.0,225.0,73.0,7404465.0,72.0,,2020-12-23,,5542831.0,54.0
Rwanda,RWA,AFRO,REPORTING,2023-06-04,2.7322059E7,1.0884714E7,211.0,84.0,1.0399665E7,80.0,,2021-03-05,,5879013.0,45.0
Malawi,MWI,AFRO,REPORTING,2023-09-24,8503954.0,5433538.0,44.0,28.0,4288014.0,22.0,,2021-03-11,,1232829.0,6.0
